Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,900",1508 - 763 Bay Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,15,None,Y,N,Gas,N,Concrete,Y,Y,1.0,Bay/College,Y,Y,Y,Toronto C01,Y,0,0,500-599 sqft,No Data,99,"Jul 4, 2023 (1 hour ago)"
"$2,500",79 - 740 Kennedy Road,Lease,Condo Townhouse,2-Storey,Ausente,Toronto,Ionview,2,2,1,8,Y,None,Central Air,N,Ausente,Y,Ensuite,N,1,Finished,N,N,Gas,Ausente,Alum Siding,N,Ausente,0.0,Kennedy Rd & Eglinton Ave E,Y,Ausente,Ausente,Toronto E04,Ausente,1,0,1000-1199 sqft,No Data,84,"Jul 4, 2023 (1 hour ago)"
"$3,800",1207 - 15 Queens Quay E,Lease,Condo Apt,Apartment,0-5,Toronto,Waterfront Communities C8,2,2,1,6,N,Terr,Central Air,N,Ausente,N,Ensuite,Restrict,12,None,Y,N,Gas,Ausente,Concrete,N,Y,1.0,Yonge/Queens Quay,Ausente,Y,Ausente,Toronto C08,Y,0,0,900-999 sqft,0-5 years,96,"Jul 4, 2023 (1 hour ago)"
"$2,700",2107 - 23 Sheppard Avenue E,Lease,Condo Apt,Apartment,Ausente,Toronto,Willowdale East,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,21,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Yonge & Sheppard,Ausente,Ausente,Ausente,Toronto C14,Ausente,1,0,500-599 sqft,No Data,76,"Jul 4, 2023 (1 hour ago)"
"$689,900",915 - 633 Bay Street,Sale,Condo Apt,Apartment,31-50,Toronto,Bay Street Corridor,1,2,1,4,N,None,Central Air,N,N,Ausente,Ausente,Restrict,9,None,Y,N,Gas,N,Brick,Ausente,Y,1.0,Bay & Dundas,Y,Y,Y,Toronto C01,Y,1,0,900-999 sqft,31-50 years,99,"Jun 24, 2023 (10 days ago)"
"$2,750",2308 - 33 Shore Breeze Drive,Lease,Condo Apt,Apartment,Ausente,Toronto,Mimico,1,1,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,23,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Lakeshore / Parklawn,Ausente,Y,Ausente,Toronto W06,Y,1,0,500-599 sqft,No Data,59,"Jul 4, 2023 (2 hours ago)"
"$3,750",3102 - 1 Scott Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C8,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,N,31,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,The Esplanade/Scott St,Y,Y,Ausente,Toronto C08,Y,1,0,900-999 sqft,No Data,99,"Jul 4, 2023 (2 hours ago)"
"$2,350",1210 - 49 East Liberty Street,Lease,Condo Apt,Apartment,0-5,Toronto,Niagara,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,12,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,King/Strachan,Ausente,Ausente,Ausente,Toronto C01,Y,0,0,0-499 sqft,0-5 years,93,"Jul 4, 2023 (2 hours ago)"
"$2,900",3512 - 386 Yonge Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,32,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Yonge/Gerrard,Ausente,Ausente,Ausente,Toronto C01,Y,1,0,600-699 sqft,No Data,99,"Jul 4, 2023 (2 hours ago)"
"$2,350",1014 - 160 Flemington Road,Lease,Condo Apt,Apartment,0-5,Toronto,Yorkdale-Glen Park,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,10,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Allen Rd/Lawrence St W,Y,Y,Ausente,Toronto W04,Y,0,0,0-499 sqft,0-5 years,50,"Jul 4, 2023 (2 hours ago)"
"$2,400",1601 - 2220 Lakeshore Boulevard W,Lease,Condo Apt,Apartment,6-10,Toronto,Mimico,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,16,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Lakeshore / Parklawn,Y,Y,Ausente,Toronto W06,Y,0,0,500-599 sqft,6-10 years,69,"Jul 4, 2023 (2 hours ago)"
"$2,200",2212 - 460 Adelaide Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,Moss Park,0,1,1,3,N,Open,Central Air,N,Ausente,N,Ensuite,N,08,None,Ausente,Ausente,Gas,Ausente,Brick,Y,Y,0.0,Adelaide/ Sherbourne,Ausente,Y,Ausente,Toronto C08,Y,0,0,600-699 sqft,No Data,99,"Jul 4, 2023 (2 hours ago)"
"$2,350",2107 - 77 Mutual Street,Lease,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,21,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Ausente,0.0,Dundas/Mutual,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,0-499 sqft,0-5 years,100,"Jul 4, 2023 (2 hours ago)"
