Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,850",1111 - 125 Village Green Square,Lease,Condo Apt,Apartment,Ausente,Toronto,Agincourt South-Malvern West,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,11,None,Ausente,Ausente,Gas,Ausente,Brick,N,Ausente,1.0,Kennedy & Hwy 401,Y,Ausente,Ausente,Toronto E07,Y,0,0,700-799 sqft,No Data,47,"Jul 1, 2023 (48 mins ago)"
"$3,475",3309 - 19 Grand Trunk Crescent,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,29,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Lower Simcoe And Lakeshore,Y,Y,Ausente,Toronto C01,Y,0,0,700-799 sqft,No Data,96,"Jul 1, 2023 (48 mins ago)"
"$2,500",3815 - 85 Wood Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,1,1,1,1,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,32,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Church/Carlton,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,0-499 sqft,No Data,99,"Jul 1, 2023 (1 hour ago)"
"$2,600",2009 - 30 Meadowglen Place,Lease,Comm Element Condo,Apartment,Ausente,Toronto,Woburn,1,2,1,5,Y,Encl,Central Air,N,Ausente,N,Ensuite,N,20,None,Ausente,Ausente,Gas,Ausente,Brick,N,Ausente,1.0,Markham & Ellesmere,Ausente,Ausente,Ausente,Toronto E09,Ausente,0,0,700-799 sqft,No Data,41,"Jul 1, 2023 (1 hour ago)"
"$3,400",1511 - 15 Greenview Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Newtonbrook West,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,N,15,None,Y,Ausente,Gas,Ausente,Brick,N,Y,1.0,Yonge And Finch,Y,Y,Ausente,Toronto C07,Y,0,0,700-799 sqft,No Data,58,"Jul 1, 2023 (1 hour ago)"
"$3,400",3309 - 121 Mcmahon Drive,Lease,Condo Apt,Apartment,Ausente,Toronto,Bayview Village,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,29,None,Ausente,N,Gas,Ausente,Concrete,N,Y,1.0,Leslie/Sheppard,Y,Y,Ausente,Toronto C15,Y,1,0,900-999 sqft,No Data,38,"Jul 1, 2023 (1 hour ago)"
"$3,100",606 - 77 Shuter Street,Lease,Condo Apt,Apartment,New,Toronto,Church-Yonge Corridor,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,N,6,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Yonge And Queen,Ausente,Y,Ausente,Toronto C08,Y,0,0,700-799 sqft,New,100,"Jul 1, 2023 (2 hours ago)"
"$3,600",5204 - 88 Harbour Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,7,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,52,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Harbour St. / York St.,Y,Y,Ausente,Toronto C01,Y,0,0,700-799 sqft,No Data,97,"Jul 1, 2023 (2 hours ago)"
"$2,400",1203 - 3091 Dufferin Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Yorkdale-Glen Park,1,1,1,4,Y,Open,Central Air,N,Ausente,N,Ensuite,Restrict,12,None,Ausente,N,Gas,N,Concrete,N,Y,1.0,Dufferin And Lawrence,Y,Y,Ausente,Toronto W04,Y,0,0,500-599 sqft,No Data,46,"Jul 1, 2023 (3 hours ago)"
"$2,500",2513 - 8 Park Road,Lease,Condo Apt,Apartment,Ausente,Toronto,Rosedale-Moore Park,1,1,1,4,N,None,Central Air,N,Ausente,Part,Ensuite,N,16,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Yonge/Bloor,Y,Y,Y,Toronto C09,Y,0,0,500-599 sqft,No Data,96,"Jul 1, 2023 (3 hours ago)"
